3.100642648988186784e-03,-1.633275460277202468e-02,9.093853666392149870e-01,-6.978522381593832945e-03,2.146224397411228973e-02,5.625356231954090624e-01,8.264649689763733376e-01,-3.027932221450118089e-01,-2.417869011928819312e-02,6.892502584210812022e-02,2.533890851853322634e-01,-8.738800893966090777e-02,5.684583156426973455e-02,-3.988034570807315049e-01,-5.126125404211540060e-02,-1.944295090298275505e-02,3.764775308483298000e-01,-1.126452072751894240e-01,3.478509951656118260e-02,-1.217509876933077322e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.007171867592394993e-03,-1.657902270436593245e-02,9.078186957678704427e-01,-8.374768337798939311e-03,2.626613118568035116e-02,5.632542362449868278e-01,8.258236003892727162e-01,-3.434911160658130624e-01,-2.421757943830772641e-02,6.743873817506824964e-02,3.172924044761712969e-01,-1.196053793353329120e-01,5.551985382379826667e-02,-4.344446221305899303e-01,-5.391586310682563998e-02,-2.013801485471275118e-02,4.313699646335095172e-01,-1.439142741227276978e-01,3.427865337892543884e-02,-1.705146326148021876e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.322888555157810835e-03,-1.684959511990078221e-02,9.072551589421795626e-01,-9.276434202922349131e-03,2.704225135475061062e-02,5.621084980506085849e-01,8.265692353514219048e-01,-3.598371787520011633e-01,-1.960192378614973238e-02,6.607770752487779342e-02,3.482990205342665901e-01,-1.323508539041687304e-01,5.295231109207169246e-02,-4.432216397883190218e-01,-4.993948124633581370e-02,-2.044560744769417446e-02,4.457101456664456784e-01,-1.542118680052302349e-01,3.288059797494542053e-02,-1.510649351781034357e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.948217828969116092e-03,-1.716304129878257895e-02,9.069823974059649796e-01,-1.021624417503705709e-02,2.776130599852475594e-02,5.605034056927488129e-01,8.276236284997198211e-01,-3.700085067905611869e-01,-1.466369164719254041e-02,6.478745073132095855e-02,3.668761956235495614e-01,-1.385290171649413704e-01,5.043118292720190354e-02,-4.477473888616829156e-01,-4.499118805152855366e-02,-2.061121760773008266e-02,4.509748039631871763e-01,-1.596638261975346917e-01,3.115895589557733658e-02,-1.255584937723036067e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.280363384037625125e-02,-1.757823718627949533e-02,9.069419766036992403e-01,-1.094333699335439496e-02,2.686898502031392910e-02,5.595532524550308473e-01,8.282864593161138878e-01,-3.760927887852746343e-01,-8.548950656905985809e-03,6.064768380290574967e-02,3.829312932731819275e-01,-1.414320832076232937e-01,4.752069563388587603e-02,-4.448469553947614341e-01,-3.792016287508723216e-02,-2.108396198476302982e-02,4.479270344861615016e-01,-1.596922590548253695e-01,2.808020129335727852e-02,-8.502561198733372266e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.582732877284305506e-02,-1.800238466730158179e-02,9.067789257081614318e-01,-1.322023089370037013e-02,2.710134692757598662e-02,5.576908098121856616e-01,8.295008759132547205e-01,-3.890538750738875007e-01,3.471269736481791268e-05,5.767999229915459630e-02,4.049911668731216996e-01,-1.436691443315501748e-01,4.538138486539575189e-02,-4.454846466646701364e-01,-2.866880027926990010e-02,-2.105130093351937834e-02,4.429441752934869525e-01,-1.570735143382272769e-01,2.660235519071573601e-02,-2.207721810140146103e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900599753163448313e-02,-1.851344593425404209e-02,9.063192260744792339e-01,-1.611421633047791999e-02,2.762609124658173612e-02,5.563474265763674875e-01,8.303340725613655993e-01,-4.072733046363917753e-01,9.656691412116197304e-03,5.411201802009896200e-02,4.349831358216112442e-01,-1.491022934785647125e-01,4.255903269130283800e-02,-4.490946667595856479e-01,-1.911364739800251733e-02,-2.282112558967696811e-02,4.421476388105864408e-01,-1.582998164244123207e-01,2.496208689761354738e-02,5.144921265690044834e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.237427077373322845e-02,-1.898483965975127086e-02,9.057330504387101078e-01,-1.978026416609039717e-02,2.763723200185617956e-02,5.542417141581379436e-01,8.316616179936667796e-01,-4.269162154669451370e-01,2.244703308829518879e-02,5.111094568183731368e-02,4.684052346060456062e-01,-1.532741453775597340e-01,3.819573626480999434e-02,-4.514376975472412235e-01,-6.649917885845249566e-03,-2.443775411852493196e-02,4.385589050018379176e-01,-1.584420562665673771e-01,2.247473767224100749e-02,1.274914452773572536e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.584123291760171900e-02,-1.947385757643837340e-02,9.049488643872998228e-01,-2.465957713882708027e-02,2.693104674072943280e-02,5.511667970323983479e-01,8.335956968613920104e-01,-4.498635704282521464e-01,4.010815011455426404e-02,4.922949435065814006e-02,5.083903620166134729e-01,-1.537069940213968700e-01,3.133047835610683340e-02,-4.518161591748000583e-01,9.186084741022849595e-03,-2.758244665162826181e-02,4.300566818029740168e-01,-1.558749878102077269e-01,2.063483474786732483e-02,2.562486634463429988e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.940520646594105628e-02,-1.999582884546732831e-02,9.037371032288519235e-01,-3.103411768913520719e-02,2.574874704376207621e-02,5.479886073491702092e-01,8.355132385429031583e-01,-4.765575373643469170e-01,6.307919180633109191e-02,4.819482758539541528e-02,5.526762064916975747e-01,-1.476182902425590970e-01,2.207303654324892228e-02,-4.523679501157503724e-01,2.835017333166314768e-02,-3.243093136141150107e-02,4.199001775923900115e-01,-1.529200429737080924e-01,1.837780917060443178e-02,4.270258901710526078e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
